date,open,high,low,close,volume
2025-10-08,0.999,0.999,0.999,0.999,0.0
2025-10-09,0.999,0.999,0.999,0.999,0.0
2025-10-10,0.999,0.999,0.999,0.999,0.0
2025-10-11,0.999,0.999,0.999,0.999,0.0
2025-10-12,0.999,0.999,0.999,0.999,0.0
2025-10-13,0.999,0.999,0.999,0.999,0.0
2025-10-14,0.999,0.999,0.999,0.999,0.0
2025-10-15,0.999,0.999,0.999,0.999,0.0
2025-10-16,0.999,0.999,0.999,0.999,0.0
2025-10-17,0.999,0.999,0.999,0.999,0.0
2025-10-18,0.999,0.999,0.999,0.999,0.0
2025-10-19,0.999,0.999,0.999,0.999,0.0
2025-10-20,0.999,0.999,0.999,0.999,0.0
2025-10-21,0.999,0.999,0.999,0.999,0.0
2025-10-22,0.999,0.999,0.999,0.999,0.0
2025-10-23,0.999,0.999,0.999,0.999,0.0
2025-10-24,0.999,0.999,0.999,0.999,0.0
2025-10-25,0.999,0.999,0.999,0.999,0.0
2025-10-26,0.999,0.999,0.999,0.999,0.0
2025-10-27,0.999,0.999,0.999,0.999,0.0
2025-10-28,0.999,0.999,0.999,0.999,0.0
2025-10-29,0.999,0.999,0.999,0.999,0.0
2025-10-30,0.999,0.999,0.999,0.999,0.0
2025-10-31,0.999,0.999,0.999,0.999,0.0
2025-11-01,0.999,0.999,0.999,0.999,0.0
2025-11-02,0.999,0.999,0.999,0.999,0.0
2025-11-03,0.999,0.999,0.999,0.999,0.0
2025-11-04,0.999,0.999,0.999,0.999,0.0
2025-11-05,0.999,0.999,0.999,0.999,0.0
2025-11-06,0.999,0.999,0.999,0.999,0.0
2025-11-07,0.999,0.999,0.999,0.999,0.0
2025-11-08,0.999,0.999,0.999,0.999,0.0
2025-11-09,0.999,0.999,0.999,0.999,0.0
2025-11-10,0.999,0.999,0.999,0.999,0.0
2025-11-11,0.999,0.999,0.999,0.999,0.0
2025-11-12,0.999,0.999,0.999,0.999,0.0
2025-11-13,0.999,0.999,0.999,0.999,0.0
2025-11-14,0.999,0.999,0.999,0.999,0.0
2025-11-15,0.999,0.999,0.999,0.999,0.0
2025-11-16,0.999,0.999,0.999,0.999,0.0
2025-11-17,0.999,0.999,0.999,0.999,0.0
2025-11-18,0.999,0.999,0.999,0.999,0.0
2025-11-19,0.999,0.999,0.999,0.999,0.0
2025-11-20,0.999,0.999,0.999,0.999,0.0
2025-11-21,0.999,0.999,0.999,0.999,0.0
2025-11-22,0.999,0.999,0.999,0.999,0.0
2025-11-23,0.999,0.999,0.999,0.999,0.0
2025-11-24,0.999,0.999,0.999,0.999,0.0
2025-11-25,0.999,0.999,0.999,0.999,0.0
2025-11-26,0.999,0.999,0.999,0.999,0.0
2025-11-27,0.999,0.999,0.999,0.999,0.0
2025-11-28,0.999,0.999,0.999,0.999,0.0
2025-11-29,0.999,0.999,0.999,0.999,0.0
2025-11-30,0.999,0.999,0.999,0.999,0.0
2025-12-01,0.999,0.999,0.999,0.999,0.0
2025-12-02,0.999,0.999,0.999,0.999,0.0
2025-12-03,0.999,0.999,0.999,0.999,0.0
2025-12-04,0.999,0.999,0.999,0.999,0.0
2025-12-05,0.999,0.999,0.999,0.999,0.0
2025-12-06,0.999,0.999,0.999,0.999,0.0
